                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                0.26322,                0.13601,                 0.3446,                 0.8109,                0.99688,                    0.8,                0.79533,                0.79533,                0.99688,                    0.8,                 0.8754,                0.81695,                    nan,                0.12575,                    nan,                    nan,              0.0003368,              0.0003368,              0.0003368
                     87,                0.26164,                0.11768,                0.36542,                0.81389,                0.99693,                    0.8,                0.79534,                0.79534,                0.99693,                    0.8,                 0.8612,                0.78657,                    nan,                0.12145,                    nan,                    nan,               0.000317,               0.000317,               0.000317
                     88,                0.27534,                0.12173,                0.36537,                0.80278,                0.99694,                    0.8,                0.79534,                0.79534,                0.99694,                    0.8,                0.82294,                 0.7824,                    nan,                0.11869,                    nan,                    nan,              0.0002972,              0.0002972,              0.0002972
                     89,                0.31122,                0.16404,                0.38086,                 0.8204,                0.99694,                    0.8,                0.79535,                0.79535,                0.99694,                    0.8,                0.86347,                0.80874,                    nan,                0.11799,                    nan,                    nan,              0.0002774,              0.0002774,              0.0002774
                     90,                 0.2871,                0.11649,                0.35998,                0.81613,                0.99694,                    0.8,                0.79535,                0.79535,                0.99694,                    0.8,                0.86467,                0.81633,                    nan,                0.11771,                    nan,                    nan,              0.0002576,              0.0002576,              0.0002576
                     91,                  0.214,                0.13762,                0.35173,                0.81335,                0.99693,                    0.8,                0.79536,                0.79536,                0.99693,                    0.8,                0.84032,                0.82802,                    nan,                0.11568,                    nan,                    nan,              0.0002378,              0.0002378,              0.0002378
                     92,                0.18495,                0.15087,                0.34159,                0.78211,                0.99692,                    0.8,                0.79536,                0.79536,                0.99692,                    0.8,                0.81397,                0.78488,                    nan,                0.11205,                    nan,                    nan,               0.000218,               0.000218,               0.000218
                     93,                0.21151,                0.14741,                0.33087,                0.76779,                 0.9969,                    0.8,                0.79535,                0.79535,                 0.9969,                    0.8,                0.81133,                0.78287,                    nan,                 0.1098,                    nan,                    nan,              0.0001982,              0.0001982,              0.0001982
                     94,                 0.2071,                0.16169,                0.32846,                0.76669,                0.99695,                    0.8,                0.79548,                0.79538,                0.99695,                    0.8,                0.81148,                0.77553,                    nan,                0.10596,                    nan,                    nan,              0.0001784,              0.0001784,              0.0001784
                     95,                 0.1856,                0.11569,                0.32817,                0.77806,                0.99691,                    0.8,                0.79548,                0.79537,                0.99691,                    0.8,                0.80913,                0.77567,                    nan,                0.10396,                    nan,                    nan,              0.0001586,              0.0001586,              0.0001586
                     96,                0.18941,                0.16654,                0.34156,                0.77345,                0.99697,                    0.8,                0.79547,                0.79536,                0.99697,                    0.8,                0.80995,                 0.7746,                    nan,                0.10271,                    nan,                    nan,              0.0001388,              0.0001388,              0.0001388
                     97,                0.19682,                0.11842,                0.33371,                0.79464,                0.99693,                    0.8,                0.79547,                0.79536,                0.99693,                    0.8,                0.80962,                0.77393,                    nan,                0.10177,                    nan,                    nan,               0.000119,               0.000119,               0.000119
                     98,                0.17064,                0.12971,                0.32123,                0.77529,                0.99692,                    0.8,                0.79534,                0.79534,                0.99692,                    0.8,                0.80798,                0.79129,                    nan,                 0.1016,                    nan,                    nan,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.15533,                0.12343,                0.31567,                 0.7735,                0.99695,                    0.8,                0.79535,                0.79535,                0.99695,                    0.8,                0.80396,                0.79115,                    nan,                0.10111,                    nan,                    nan,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.17621,                0.11232,                0.32543,                0.78518,                0.99694,                    0.8,                0.79534,                0.79534,                0.99694,                    0.8,                0.80388,                0.78993,                    nan,                 0.1005,                    nan,                    nan,               5.96e-05,               5.96e-05,               5.96e-05
